datetime,open,high,low,close
2023-10-12 15:25:00,26678.58000,26682.35000,26643.03000,26644.31000
2023-10-12 15:30:00,26644.31000,26667.66000,26633.47000,26660.80000
2023-10-12 15:35:00,26660.80000,26679.26000,26658.03000,26675.89000
2023-10-12 15:40:00,26675.39000,26680.34000,26644.23000,26658.85000
2023-10-12 15:45:00,26658.85000,26673.60000,26608.47000,26619.35000
2023-10-12 15:50:00,26618.48000,26691.86000,26609.07000,26684.02000
2023-10-12 15:55:00,26685.72000,26685.72000,26652.97000,26667.48000
2023-10-12 16:00:00,26666.86000,26680.02000,26656.76000,26659.00000
2023-10-12 16:05:00,26659.01000,26708.84000,26659.00000,26699.15000
2023-10-12 16:10:00,26699.15000,26704.63000,26688.15000,26690.61000
2023-10-12 16:15:00,26688.41000,26706.85000,26685.29000,26694.64000
2023-10-12 16:20:00,26695.65000,26695.66000,26669.33000,26671.44000
2023-10-12 16:25:00,26671.00000,26729.84000,26558.86000,26720.01000
2023-10-12 16:30:00,26720.01000,26794.59000,26682.37000,26739.38000
2023-10-12 16:35:00,26739.20000,26775.53000,26715.00000,26762.99000
2023-10-12 16:40:00,26762.98000,26762.98000,26721.17000,26721.20000
2023-10-12 16:45:00,26721.20000,26728.02000,26700.65000,26703.29000
2023-10-12 16:50:00,26703.29000,26705.80000,26657.27000,26669.84000
2023-10-12 16:55:00,26668.88000,26686.54000,26652.89000,26666.28000
2023-10-12 17:00:00,26666.28000,26685.53000,26613.83000,26622.48000
2023-10-12 17:05:00,26621.84000,26640.00000,26579.14000,26590.59000
2023-10-12 17:10:00,26590.44000,26634.17000,26582.56000,26608.45000
2023-10-12 17:15:00,26608.44000,26626.44000,26562.56000,26623.85000
2023-10-12 17:20:00,26626.11000,26634.05000,26560.89000,26588.88000
2023-10-12 17:25:00,26591.17000,26621.69000,26581.26000,26586.03000
2023-10-12 17:30:00,26586.02000,26610.41000,26537.72000,26555.86000
2023-10-12 17:35:00,26556.58000,26606.20000,26543.84000,26588.22000
2023-10-12 17:40:00,26586.51000,26624.28000,26576.93000,26604.76000
2023-10-12 17:45:00,26604.76000,26623.78000,26594.00000,26608.33000
2023-10-12 17:50:00,26607.73000,26626.42000,26599.01000,26616.04000
2023-10-12 17:55:00,26615.96000,26638.53000,26611.73000,26629.22000
2023-10-12 18:00:00,26628.53000,26639.92000,26602.03000,26608.09000
2023-10-12 18:05:00,26607.53000,26623.87000,26593.54000,26597.94000
2023-10-12 18:10:00,26597.46000,26622.72000,26580.28000,26619.65000
2023-10-12 18:15:00,26619.64000,26619.99000,26595.40000,26611.97000
2023-10-12 18:20:00,26611.69000,26674.24000,26609.82000,26663.07000
2023-10-12 18:25:00,26663.06000,26697.34000,26661.04000,26691.65000
2023-10-12 18:30:00,26691.64000,26713.27000,26682.29000,26709.49000
2023-10-12 18:35:00,26709.46000,26719.43000,26690.06000,26704.31000
2023-10-12 18:40:00,26704.31000,26710.22000,26693.31000,26706.42000
2023-10-12 18:45:00,26706.42000,26706.42000,26676.95000,26677.42000
2023-10-12 18:50:00,26679.55000,26682.36000,26641.09000,26647.04000
2023-10-12 18:55:00,26648.59000,26658.87000,26640.37000,26645.21000
2023-10-12 19:00:00,26645.55000,26656.97000,26628.19000,26638.52000
2023-10-12 19:05:00,26638.79000,26639.27000,26616.36000,26634.01000
2023-10-12 19:10:00,26634.01000,26675.38000,26625.28000,26667.12000
2023-10-12 19:15:00,26667.12000,26687.00000,26638.95000,26681.34000
2023-10-12 19:20:00,26681.89000,26681.89000,26653.80000,26655.05000
2023-10-12 19:25:00,26655.05000,26677.39000,26645.97000,26669.10000
2023-10-12 19:30:00,26667.26000,26706.02000,26664.66000,26701.96000
2023-10-12 19:35:00,26701.21000,26714.85000,26701.21000,26710.17000
2023-10-12 19:40:00,26710.16000,26718.73000,26687.60000,26711.20000
2023-10-12 19:45:00,26711.19000,26724.11000,26705.00000,26716.55000
2023-10-12 19:50:00,26716.55000,26731.57000,26706.92000,26709.03000
2023-10-12 19:55:00,26709.03000,26713.54000,26697.99000,26698.00000
2023-10-12 20:00:00,26698.95000,26714.56000,26693.98000,26711.97000
2023-10-12 20:05:00,26711.77000,26732.46000,26711.77000,26726.04000
2023-10-12 20:10:00,26726.03000,26739.47000,26720.47000,26736.22000
2023-10-12 20:15:00,26736.22000,26750.14000,26720.01000,26721.73000
2023-10-12 20:20:00,26720.65000,26721.44000,26712.01000,26720.95000
2023-10-12 20:25:00,26720.95000,26726.02000,26711.68000,26719.00000
2023-10-12 20:30:00,26719.00000,26749.99000,26717.32000,26738.62000
2023-10-12 20:35:00,26738.62000,26744.60000,26733.13000,26733.64000
2023-10-12 20:40:00,26733.65000,26735.87000,26721.16000,26730.01000
2023-10-12 20:45:00,26730.02000,26737.68000,26722.83000,26736.05000
2023-10-12 20:50:00,26735.74000,26740.39000,26721.25000,26735.22000
2023-10-12 20:55:00,26735.21000,26739.70000,26717.18000,26739.50000
2023-10-12 21:00:00,26739.30000,26750.00000,26726.73000,26729.41000
2023-10-12 21:05:00,26729.40000,26741.05000,26718.90000,26719.89000
2023-10-12 21:10:00,26719.88000,26722.49000,26702.89000,26718.18000
2023-10-12 21:15:00,26718.18000,26727.92000,26717.30000,26721.93000
2023-10-12 21:20:00,26721.93000,26726.20000,26717.88000,26721.65000
2023-10-12 21:25:00,26722.15000,26727.44000,26713.45000,26725.61000
2023-10-12 21:30:00,26725.59000,26757.84000,26725.02000,26744.19000
2023-10-12 21:35:00,26744.20000,26744.64000,26703.33000,26705.31000
2023-10-12 21:40:00,26705.33000,26721.49000,26704.42000,26720.39000
2023-10-12 21:45:00,26720.13000,26720.66000,26711.13000,26713.70000
2023-10-12 21:50:00,26713.70000,26734.42000,26713.69000,26733.03000
2023-10-12 21:55:00,26733.46000,26751.93000,26730.25000,26747.88000
2023-10-12 22:00:00,26748.06000,26754.84000,26729.21000,26729.89000
2023-10-12 22:05:00,26729.88000,26760.00000,26729.30000,26754.65000
2023-10-12 22:10:00,26754.91000,26770.41000,26745.58000,26760.35000
2023-10-12 22:15:00,26760.15000,26760.15000,26731.79000,26732.64000
2023-10-12 22:20:00,26732.63000,26739.30000,26722.86000,26738.24000
2023-10-12 22:25:00,26737.77000,26752.85000,26734.92000,26749.87000
2023-10-12 22:30:00,26749.87000,26749.87000,26720.99000,26728.54000
2023-10-12 22:35:00,26728.55000,26734.94000,26719.22000,26732.86000
2023-10-12 22:40:00,26732.85000,26736.32000,26721.40000,26725.10000
2023-10-12 22:45:00,26724.62000,26737.08000,26724.09000,26733.00000
2023-10-12 22:50:00,26731.76000,26750.00000,26726.38000,26746.55000
2023-10-12 22:55:00,26746.55000,26751.59000,26735.25000,26745.54000
2023-10-12 23:00:00,26745.53000,26753.06000,26734.75000,26739.53000
2023-10-12 23:05:00,26739.52000,26739.76000,26718.04000,26721.86000
2023-10-12 23:10:00,26721.85000,26725.68000,26710.87000,26715.99000
2023-10-12 23:15:00,26715.99000,26724.24000,26703.05000,26706.76000
2023-10-12 23:20:00,26706.76000,26733.34000,26701.00000,26725.65000
2023-10-12 23:25:00,26725.65000,26735.66000,26721.90000,26729.03000
2023-10-12 23:30:00,26729.50000,26757.24000,26729.50000,26756.91000
2023-10-12 23:35:00,26756.95000,26761.60000,26748.11000,26748.46000
2023-10-12 23:40:00,26749.41000,26749.42000,26732.22000,26739.76000
2023-10-12 23:45:00,26740.62000,26749.33000,26732.70000,26741.46000
2023-10-12 23:50:00,26741.45000,26741.45000,26731.40000,26738.28000
2023-10-12 23:55:00,26738.28000,26760.36000,26737.53000,26750.51000
2023-10-13 00:00:00,26752.06000,26753.11000,26739.34000,26752.21000
2023-10-13 00:05:00,26752.21000,26789.00000,26748.89000,26781.24000
2023-10-13 00:10:00,26782.51000,26798.28000,26767.82000,26793.37000
2023-10-13 00:15:00,26793.58000,26840.30000,26793.57000,26817.95000
2023-10-13 00:20:00,26817.95000,26836.10000,26817.95000,26825.16000
2023-10-13 00:25:00,26825.16000,26832.63000,26803.87000,26832.03000
2023-10-13 00:30:00,26832.06000,26851.42000,26827.97000,26837.35000
2023-10-13 00:35:00,26837.33000,26844.57000,26799.46000,26812.70000
2023-10-13 00:40:00,26811.01000,26830.04000,26805.93000,26821.15000
2023-10-13 00:45:00,26821.14000,26831.52000,26811.00000,26811.31000
2023-10-13 00:50:00,26811.31000,26813.53000,26795.81000,26808.66000
2023-10-13 00:55:00,26807.27000,26825.01000,26799.10000,26821.91000
2023-10-13 01:00:00,26821.92000,26838.33000,26816.55000,26834.04000
2023-10-13 01:05:00,26834.03000,26871.00000,26816.38000,26816.40000
2023-10-13 01:10:00,26813.17000,26826.81000,26807.68000,26826.81000
2023-10-13 01:15:00,26826.81000,26828.73000,26801.94000,26802.00000
2023-10-13 01:20:00,26803.37000,26806.99000,26797.10000,26800.23000
2023-10-13 01:25:00,26800.22000,26805.25000,26795.00000,26802.39000
2023-10-13 01:30:00,26802.39000,26830.88000,26798.21000,26824.06000
2023-10-13 01:35:00,26824.06000,26824.06000,26806.04000,26813.83000
2023-10-13 01:40:00,26814.26000,26829.17000,26803.53000,26813.22000
2023-10-13 01:45:00,26813.23000,26818.45000,26803.13000,26804.05000
2023-10-13 01:50:00,26804.05000,26814.26000,26804.05000,26805.32000
2023-10-13 01:55:00,26805.31000,26805.32000,26778.90000,26785.96000
2023-10-13 02:00:00,26785.95000,26794.82000,26776.19000,26778.78000
2023-10-13 02:05:00,26778.79000,26794.52000,26778.59000,26788.81000
2023-10-13 02:10:00,26787.67000,26794.82000,26780.72000,26781.43000
2023-10-13 02:15:00,26783.32000,26799.21000,26778.44000,26788.97000
2023-10-13 02:20:00,26788.97000,26798.90000,26788.40000,26797.51000
2023-10-13 02:25:00,26797.50000,26799.69000,26789.95000,26794.59000
2023-10-13 02:30:00,26794.60000,26797.97000,26784.32000,26784.54000
2023-10-13 02:35:00,26784.54000,26789.99000,26773.83000,26789.99000
2023-10-13 02:40:00,26789.99000,26795.35000,26785.81000,26789.88000
2023-10-13 02:45:00,26789.88000,26795.60000,26778.06000,26782.86000
2023-10-13 02:50:00,26782.85000,26799.91000,26780.45000,26792.76000
2023-10-13 02:55:00,26792.75000,26802.56000,26792.75000,26797.92000
2023-10-13 03:00:00,26797.90000,26812.65000,26796.80000,26810.01000
2023-10-13 03:05:00,26809.71000,26814.60000,26807.10000,26808.50000
2023-10-13 03:10:00,26808.50000,26821.81000,26802.57000,26819.88000
2023-10-13 03:15:00,26819.89000,26824.94000,26798.59000,26799.00000
2023-10-13 03:20:00,26798.99000,26808.01000,26790.20000,26793.32000
2023-10-13 03:25:00,26793.32000,26795.37000,26786.34000,26789.67000
2023-10-13 03:30:00,26789.67000,26791.74000,26779.33000,26781.72000
2023-10-13 03:35:00,26781.73000,26781.73000,26767.19000,26772.32000
2023-10-13 03:40:00,26772.31000,26780.71000,26767.28000,26774.63000
2023-10-13 03:45:00,26774.12000,26778.62000,26761.26000,26768.58000
2023-10-13 03:50:00,26769.53000,26778.00000,26758.87000,26767.90000
2023-10-13 03:55:00,26767.90000,26777.00000,26763.18000,26773.14000
2023-10-13 04:00:00,26773.95000,26779.32000,26765.82000,26769.02000
2023-10-13 04:05:00,26769.01000,26782.19000,26769.00000,26782.19000
2023-10-13 04:10:00,26782.19000,26788.39000,26779.57000,26785.63000
2023-10-13 04:15:00,26785.62000,26790.90000,26780.96000,26786.64000
2023-10-13 04:20:00,26786.63000,26792.81000,26785.23000,26792.80000
2023-10-13 04:25:00,26792.81000,26799.75000,26785.77000,26785.78000
2023-10-13 04:30:00,26785.77000,26796.94000,26780.07000,26792.29000
2023-10-13 04:35:00,26792.28000,26793.55000,26781.78000,26781.87000
2023-10-13 04:40:00,26781.86000,26787.32000,26777.80000,26785.19000
2023-10-13 04:45:00,26785.74000,26789.47000,26776.31000,26785.39000
2023-10-13 04:50:00,26785.39000,26798.06000,26785.39000,26793.80000
2023-10-13 04:55:00,26793.80000,26796.76000,26784.43000,26793.83000
2023-10-13 05:00:00,26794.11000,26811.71000,26793.50000,26808.19000
2023-10-13 05:05:00,26808.18000,26808.19000,26794.05000,26798.00000
2023-10-13 05:10:00,26798.00000,26806.68000,26791.78000,26804.90000
2023-10-13 05:15:00,26804.90000,26812.82000,26802.33000,26803.81000
